campaign_name,city,format,spend,impressions,clicks,conversions,revenue
Dublin City Centre - 48 Sheet,Dublin,48 Sheet,4200,980000,1240,87,18900
Cork Motorway - Digital,Cork,Digital,2800,620000,890,54,11200
Belfast Roadside - 6 Sheet,Belfast,6 Sheet,1500,310000,420,28,5600
Dublin Airport - Supersite,Dublin,Supersite,8500,1850000,3100,210,48000
Galway City - Bus Shelter,Galway,Bus Shelter,950,180000,210,15,2800
Limerick Retail - 48 Sheet,Limerick,48 Sheet,3100,720000,980,62,13500
Dublin DART - 4 Sheet,Dublin,4 Sheet,1800,450000,650,43,9200
Cork City - Digital,Cork,Digital,3400,810000,1150,79,17600
Belfast City Hall - Supersite,Belfast,Supersite,6200,1320000,2200,148,33000
Waterford Retail Park - 6 Sheet,Waterford,6 Sheet,1200,260000,310,21,4100
